antibiotic,auroc,f1,split,hamming_loss,jaccard_score,jaccard_score_zd1,exact_match_ratio,restricted_jaccard,seed
Meropenem,0.6160383386581469,0.02631578947368421,random_seed6,0.09529243937232525,0.0021398002853067048,0.761055634807418,0.760342368045649,0.008875739644970414,6
Ciprofloxacin,0.6891797341235543,0.02531645569620253,random_seed6,0.09529243937232525,0.0021398002853067048,0.761055634807418,0.760342368045649,0.008875739644970414,6
Ceftazidime,0.6091188524590164,0.0,random_seed6,0.09529243937232525,0.0021398002853067048,0.761055634807418,0.760342368045649,0.008875739644970414,6
Cefepime,0.6448390308662463,0.0425531914893617,random_seed6,0.09529243937232525,0.0021398002853067048,0.761055634807418,0.760342368045649,0.008875739644970414,6
Piperacillin-Tazobactam,0.6290040294680288,0.025,random_seed7,0.09500713266761769,0.0007132667617689016,0.753922967189729,0.7532097004279601,0.0029239766081871343,7
Meropenem,0.5816034359341445,0.029850746268656716,random_seed7,0.09500713266761769,0.0007132667617689016,0.753922967189729,0.7532097004279601,0.0029239766081871343,7
Ciprofloxacin,0.6102327391058291,0.0,random_seed7,0.09500713266761769,0.0007132667617689016,0.753922967189729,0.7532097004279601,0.0029239766081871343,7
Ceftazidime,0.6260773351968321,0.0,random_seed7,0.09500713266761769,0.0007132667617689016,0.753922967189729,0.7532097004279601,0.0029239766081871343,7
Cefepime,0.7240046246116049,0.0,random_seed7,0.09500713266761769,0.0007132667617689016,0.753922967189729,0.7532097004279601,0.0029239766081871343,7
Piperacillin-Tazobactam,0.5608843139548485,0.0,random_seed8,0.09500713266761769,0.0006419400855920115,0.7738231098430813,0.7731811697574893,0.0028301886792452833,8
Meropenem,0.6269086467149465,0.0,random_seed8,0.09500713266761769,0.0006419400855920115,0.7738231098430813,0.7731811697574893,0.0028301886792452833,8
Ciprofloxacin,0.7426356589147286,0.045454545454545456,random_seed8,0.09500713266761769,0.0006419400855920115,0.7738231098430813,0.7731811697574893,0.0028301886792452833,8
Ceftazidime,0.5805841354132094,0.0,random_seed8,0.09500713266761769,0.0006419400855920115,0.7738231098430813,0.7731811697574893,0.0028301886792452833,8
Cefepime,0.6572850979090608,0.0,random_seed8,0.09500713266761769,0.0006419400855920115,0.7738231098430813,0.7731811697574893,0.0028301886792452833,8
