antibiotic,auroc,f1,split,order_name,hamming_loss,jaccard_score,all_zero_frac,seed
Erythromycin,0.6847007992542813,0.12060301507537688,random_seed5,misseeded_cipro_pen2,0.1525328330206379,0.577110694183865,0.10131332082551595,5
Clindamycin,0.5302717764991134,0.11695906432748537,random_seed5,misseeded_cipro_pen2,0.1525328330206379,0.577110694183865,0.10131332082551595,5
Oxacillin,0.8822957884852334,0.7082152974504249,random_seed5,misseeded_cipro_pen2,0.1525328330206379,0.577110694183865,0.10131332082551595,5
Penicillin,0.7533964921846602,0.851915380217267,random_seed6,option_a,0.15909943714821764,0.5650250156347717,0.09662288930581614,6
Erythromycin,0.7359065122044242,0.11267605633802817,random_seed6,option_a,0.15909943714821764,0.5650250156347717,0.09662288930581614,6
Clindamycin,0.56029322843419,0.09836065573770492,random_seed6,option_a,0.15909943714821764,0.5650250156347717,0.09662288930581614,6
Oxacillin,0.9277624781179283,0.7068493150684931,random_seed6,option_a,0.15909943714821764,0.5650250156347717,0.09662288930581614,6
Ciprofloxacin,0.7857275426874535,0.41284403669724773,random_seed6,option_a,0.15909943714821764,0.5650250156347717,0.09662288930581614,6
Oxacillin,0.9369155885743563,0.717948717948718,random_seed6,misseeded_oxacillin,0.15347091932457785,0.5493746091307068,0.13696060037523453,6
Erythromycin,0.6908431064073226,0.25217391304347825,random_seed6,misseeded_oxacillin,0.15347091932457785,0.5493746091307068,0.13696060037523453,6
Clindamycin,0.6017569247701935,0.24615384615384617,random_seed6,misseeded_oxacillin,0.15347091932457785,0.5493746091307068,0.13696060037523453,6
Penicillin,0.7460559796437659,0.8387096774193549,random_seed6,misseeded_oxacillin,0.15347091932457785,0.5493746091307068,0.13696060037523453,6
Ciprofloxacin,0.7830894050270443,0.4292237442922374,random_seed6,misseeded_oxacillin,0.15347091932457785,0.5493746091307068,0.13696060037523453,6
Ciprofloxacin,0.7800535581715983,0.410958904109589,random_seed6,misseeded_ciprofloxacin,0.16097560975609757,0.5395716072545341,0.1378986866791745,6
Erythromycin,0.7167119565217391,0.07920792079207921,random_seed6,misseeded_ciprofloxacin,0.16097560975609757,0.5395716072545341,0.1378986866791745,6
Clindamycin,0.5620528707987689,0.09248554913294797,random_seed6,misseeded_ciprofloxacin,0.16097560975609757,0.5395716072545341,0.1378986866791745,6
Oxacillin,0.9271593868750266,0.6949152542372882,random_seed6,misseeded_ciprofloxacin,0.16097560975609757,0.5395716072545341,0.1378986866791745,6
Penicillin,0.7429162122864413,0.8368544600938967,random_seed6,misseeded_ciprofloxacin,0.16097560975609757,0.5395716072545341,0.1378986866791745,6
Ciprofloxacin,0.7800535581715983,0.410958904109589,random_seed6,misseeded_cipro_pen2,0.1545966228893058,0.5697467166979362,0.09287054409005628,6
Penicillin,0.7400763358778626,0.8522532800912721,random_seed6,misseeded_cipro_pen2,0.1545966228893058,0.5697467166979362,0.09287054409005628,6
Erythromycin,0.7024277745995422,0.11650485436893204,random_seed6,misseeded_cipro_pen2,0.1545966228893058,0.5697467166979362,0.09287054409005628,6
Clindamycin,0.5741869297298032,0.13559322033898305,random_seed6,misseeded_cipro_pen2,0.1545966228893058,0.5697467166979362,0.09287054409005628,6
Oxacillin,0.9295610776653431,0.7292225201072386,random_seed6,misseeded_cipro_pen2,0.1545966228893058,0.5697467166979362,0.09287054409005628,6
Penicillin,0.7397551592402171,0.8410138248847926,random_seed7,option_a,0.1549718574108818,0.5560975609756097,0.10037523452157598,7
Erythromycin,0.7192086749671018,0.12,random_seed7,option_a,0.1549718574108818,0.5560975609756097,0.10037523452157598,7
Clindamycin,0.5796238551458183,0.12048192771084337,random_seed7,option_a,0.1549718574108818,0.5560975609756097,0.10037523452157598,7
Oxacillin,0.9017999140339565,0.7028571428571428,random_seed7,option_a,0.1549718574108818,0.5560975609756097,0.10037523452157598,7
Ciprofloxacin,0.7709831810069764,0.4095238095238095,random_seed7,option_a,0.1549718574108818,0.5560975609756097,0.10037523452157598,7
Oxacillin,0.9162153449387492,0.6588235294117647,random_seed7,misseeded_oxacillin,0.15440900562851784,0.5328330206378987,0.15947467166979362,7
Erythromycin,0.7270599250936329,0.18536585365853658,random_seed7,misseeded_oxacillin,0.15440900562851784,0.5328330206378987,0.15947467166979362,7
Clindamycin,0.6036507290913473,0.20118343195266272,random_seed7,misseeded_oxacillin,0.15440900562851784,0.5328330206378987,0.15947467166979362,7
Penicillin,0.7393668773207656,0.8320382546323969,random_seed7,misseeded_oxacillin,0.15440900562851784,0.5328330206378987,0.15947467166979362,7
Ciprofloxacin,0.771044021415824,0.40384615384615385,random_seed7,misseeded_oxacillin,0.15440900562851784,0.5328330206378987,0.15947467166979362,7
